모델명,장비수,날짜,요일,시작 시간,종료 시간,시험원,시험 방법,시험 결과,av #0,av #1,av #2,av #3,av #4,av #5,av #6,av #7,av #8,av #9,av #10,av #11,lpc #0,lpc #1,lpc #2,lpc #3,lpc #4,lpc #5,lpc #6,lpc #7,lpc #8,lpc #9,lpc #10,lpc #11,lpc #12,lpc #13,센서,펌프 1,펌프 2,스터러,SD 카드,RTC,EEPROM,시리얼 1,시리얼 2,시리얼 3,시리얼 4
Sigma-1000,1,2021년 05월 24일,월,9:48:37,9:50:12,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,2,2021년 05월 24일,월,9:50:12,9:51:47,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,3,2021년 05월 24일,월,9:51:47,9:53:22,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,4,2021년 05월 24일,월,9:53:22,9:54:56,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,5,2021년 05월 24일,월,9:54:56,9:56:31,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,6,2021년 05월 24일,월,9:56:31,9:58:05,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,7,2021년 05월 24일,월,9:58:05,9:59:40,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,8,2021년 05월 24일,월,9:59:40,10:01:15,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,9,2021년 05월 24일,월,10:01:15,10:02:49,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,10,2021년 05월 24일,월,10:02:49,10:04:24,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,11,2021년 05월 24일,월,10:04:24,10:05:59,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,12,2021년 05월 24일,월,10:05:59,10:07:33,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,13,2021년 05월 24일,월,10:07:33,10:09:08,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,14,2021년 05월 24일,월,10:09:08,10:10:43,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,15,2021년 05월 24일,월,10:10:43,10:12:18,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,16,2021년 05월 24일,월,10:12:18,10:13:52,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,17,2021년 05월 24일,월,10:13:52,10:15:27,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,18,2021년 05월 24일,월,10:15:27,10:17:02,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,19,2021년 05월 24일,월,10:17:02,10:18:37,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,20,2021년 05월 24일,월,10:43:10,10:44:45,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,21,2021년 05월 24일,월,10:44:45,10:46:22,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,22,2021년 05월 24일,월,10:46:22,10:47:56,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,23,2021년 05월 24일,월,10:47:56,10:49:31,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,O,O,O,O
Sigma-1000,24,2021년 05월 24일,월,10:49:31,10:51:06,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,25,2021년 05월 24일,월,10:51:06,10:52:40,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,26,2021년 05월 24일,월,10:52:40,10:54:15,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,27,2021년 05월 24일,월,10:54:15,10:55:49,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,28,2021년 05월 24일,월,10:55:49,10:57:24,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,29,2021년 05월 24일,월,10:57:24,10:58:59,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,30,2021년 05월 24일,월,10:58:59,11:00:34,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,31,2021년 05월 24일,월,11:00:34,11:02:08,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,32,2021년 05월 24일,월,11:02:08,11:03:43,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,33,2021년 05월 24일,월,11:03:43,11:05:18,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,34,2021년 05월 24일,월,11:05:18,11:06:52,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,35,2021년 05월 24일,월,11:06:52,11:08:27,홍길동,자동,NG,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,36,2021년 05월 24일,월,11:08:27,11:10:02,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,37,2021년 05월 24일,월,11:10:02,11:11:36,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,38,2021년 05월 24일,월,11:11:36,11:13:11,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,39,2021년 05월 24일,월,11:13:11,11:14:46,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,40,2021년 05월 24일,월,11:14:46,11:16:20,홍길동,자동,NG,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,41,2021년 05월 24일,월,11:16:20,11:17:55,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,42,2021년 05월 24일,월,11:17:55,11:19:30,홍길동,자동,NG,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,43,2021년 05월 24일,월,11:19:30,12:31:15,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,44,2021년 05월 24일,월,12:31:15,12:32:50,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,45,2021년 05월 24일,월,12:32:50,12:34:24,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,46,2021년 05월 24일,월,12:34:24,12:35:59,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,47,2021년 05월 24일,월,12:35:59,12:37:34,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,48,2021년 05월 24일,월,12:37:34,12:39:09,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,49,2021년 05월 24일,월,12:39:09,12:40:43,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,50,2021년 05월 24일,월,12:40:43,12:42:18,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,51,2021년 05월 24일,월,12:42:18,12:43:53,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,52,2021년 05월 24일,월,12:43:53,12:45:28,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,53,2021년 05월 24일,월,12:45:28,12:47:03,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,54,2021년 05월 24일,월,12:47:03,12:48:38,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,55,2021년 05월 24일,월,12:48:38,12:50:12,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,56,2021년 05월 24일,월,12:50:12,12:51:47,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,57,2021년 05월 24일,월,12:51:47,12:53:22,홍길동,자동,NG,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,58,2021년 05월 24일,월,12:53:22,12:54:57,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,59,2021년 05월 24일,월,12:54:57,12:56:32,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,60,2021년 05월 24일,월,12:56:32,12:58:06,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,61,2021년 05월 24일,월,12:58:06,12:59:42,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,62,2021년 05월 24일,월,12:59:42,13:01:16,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,63,2021년 05월 24일,월,13:01:16,13:02:51,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,64,2021년 05월 24일,월,13:02:51,13:04:26,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,65,2021년 05월 24일,월,13:04:26,13:06:00,홍길동,자동,NG,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,66,2021년 05월 24일,월,13:06:00,13:07:35,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,67,2021년 05월 24일,월,13:07:35,13:09:10,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,68,2021년 05월 24일,월,13:09:10,13:10:44,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,69,2021년 05월 24일,월,13:10:44,13:12:19,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,70,2021년 05월 24일,월,13:12:19,13:13:54,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,71,2021년 05월 24일,월,13:13:54,13:15:28,홍길동,자동,NG,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,O,O,O,O
Sigma-1000,72,2021년 05월 24일,월,13:15:28,13:17:03,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,73,2021년 05월 24일,월,13:17:03,13:18:38,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,74,2021년 05월 24일,월,13:18:38,13:20:13,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,75,2021년 05월 24일,월,13:20:13,13:21:47,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,76,2021년 05월 24일,월,13:21:47,13:23:22,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,77,2021년 05월 24일,월,13:23:22,13:24:57,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
